Title,Artist,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Blueberry Hill,Fats Domino,06PdA0DLgF4BfAeUNZAbFG,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,0.829,133.341,147880
At the Hop,Angelo Grey Band,6wt538gLCcV38weNmJjU0z,0.412,0.72,8,-9.777,1,0.0479,0.502,0.00293,0.135,0.965,191.333,154776
Yakety Yak - 2007 Remaster,The Coasters,3Lbxie6whOW4eMt4jtI32k,0.641,0.834,7,-7.831,1,0.242,0.626,0.000534,0.131,0.849,120.948,116027
Blue Moon,The Marcels,75ewj77lCHHLKOlyx5KvGw,0.621,0.43,7,-11.163,1,0.0343,0.69,0.0,0.075,0.938,127.74,135200
Take Good Care Of My Baby,Bobby Vee,7kQZZSlxhDES9KugTuKMXo,0.499,0.42,1,-11.089,1,0.0509,0.759,0.0,0.171,0.625,82.95,150440
Lucille,Little Richard,68N3Xhe8s9SYPpEmqqpg07,0.686,0.715,8,-11.962,0,0.0677,0.62,0.000271,0.205,0.855,143.608,143827
Little Darlin',The Diamonds,0f7JTPN46BnWiRGb5A1fft,0.62,0.533,6,-11.417,1,0.0394,0.495,0.185,0.328,0.81,153.385,129333
Love Potion No. 9 - Remastered / Single Version,The Clovers,5ytPMYb6dkoli8sNSEsdmZ,0.738,0.451,7,-12.949,1,0.146,0.572,0.0,0.175,0.793,128.853,113200
Don't Be Cruel,Elvis Presley,01u6AEzGbGbQyYVdxajxqk,0.697,0.55,2,-11.496,1,0.179,0.856,3.44e-05,0.0907,0.844,84.802,122893
Only You (And You Alone),The Platters,0S8ibKBl3tjRmYbZhGHNhG,0.419,0.331,3,-10.497,1,0.0293,0.932,0.0,0.102,0.322,80.647,160093
Splish Splash,Bobby Darin,40fD7ct05FvQHLdQTgJelG,0.645,0.943,0,-1.526,1,0.0393,0.385,0.0,0.37,0.965,147.768,131720
The Twist,Chubby Checker,3ohLnESFgYACPMCkoTOzqE,0.533,0.638,4,-7.13,1,0.0341,0.202,0.0,0.0729,0.937,156.663,153760
Lollipop,The Chordettes,1hFB1obL3dCyIDigkojSTm,0.65,0.593,7,-6.374,0,0.122,0.585,0.00244,0.441,0.825,143.179,130533
