Title,Artist,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
I Need You,George Martin,4Anh5Ti55P6SXG3H94QLqV,0.528,0.472,7,-10.428,1,0.0267,0.583,0.0,0.129,0.251,134.099,183187
You Can Do Magic,America,5dXED6MP1v1qghkaniirb1,0.859,0.568,4,-12.516,0,0.0387,0.29,0.0,0.31,0.936,129.72,237467
Tin Man,America,4uTTd2SlalZoG0zVgI63kH,0.646,0.531,7,-10.785,1,0.0671,0.528,0.0133,0.0836,0.655,172.02,209867
Lonely People,America,5coTcHT7K8O3G97y9T4LOU,0.557,0.473,7,-9.294,1,0.0262,0.261,3.95e-05,0.0658,0.56,79.368,150227
Sandman,America,14lDO5V0Ay0h1t8QTpbfi1,0.395,0.647,9,-12.074,0,0.0376,0.207,3.29e-05,0.113,0.632,75.824,308600
Daisy Jane,America,4vxLWiOERuSSC5edMs6uu0,0.52,0.208,0,-17.092,1,0.0319,0.84,4.63e-06,0.0996,0.282,90.1,186467
The Border,America,4igFSXkcFAjjwBAHAb6ONw,0.602,0.893,0,-6.952,0,0.0941,0.0367,0.0,0.109,0.773,125.77,241667
Muskrat Love,America,7tKyXCUKLNmPCXQey1mElL,0.402,0.279,4,-16.474,1,0.0298,0.898,0.00291,0.1,0.534,180.565,186800
Muskrat Love,George Martin,7tKyXCUKLNmPCXQey1mElL,0.402,0.279,4,-16.474,1,0.0298,0.898,0.00291,0.1,0.534,180.565,186800
Don't Cross the River,America,2fqDuYbP9LsoiC1DiXDhWk,0.572,0.726,2,-10.372,1,0.0347,0.0463,2.8e-05,0.175,0.694,97.447,149867
Don't Cross the River,George Martin,2fqDuYbP9LsoiC1DiXDhWk,0.572,0.726,2,-10.372,1,0.0347,0.0463,2.8e-05,0.175,0.694,97.447,149867
Woman Tonight,America,4lTEyMw4bb25M6VIBsoIBt,0.798,0.487,2,-11.271,1,0.042,0.479,0.000689,0.0486,0.97,122.026,142360
Muskrat Love,Captain & Tennille,3NRiJ7XFMALvrXXB1oRBFO,0.659,0.257,9,-16.552,1,0.0382,0.89,0.00014,0.252,0.222,102.977,228160
The Way I Want To Touch You,Captain & Tennille,7KdcZQ3GJeGdserhK61kfv,0.664,0.585,0,-7.062,0,0.0248,0.624,0.000112,0.343,0.597,111.29,163587
Wedding Song (There Is Love),Captain & Tennille,3kUyjcwuTTr4kpKZwQQhl1,0.292,0.194,7,-13.263,1,0.0354,0.78,8.59e-05,0.103,0.321,79.692,199867
Lonely Night (Angel Face),Captain & Tennille,6UlsJnL9wjMhOdViWpqzp0,0.582,0.675,0,-7.993,1,0.167,0.431,0.0,0.0881,0.592,122.138,195933
On And On,Stephen Bishop,0Vth3l4XAo8hNYmxjzhr2y,0.57,0.462,11,-10.483,1,0.0283,0.74,0.000223,0.104,0.545,102.3,181893
Separate Lives - 2016 Remaster,Phil Collins,2kutWXrLM96DH8Prv2Ce8g,0.32,0.308,4,-9.118,1,0.0318,0.237,0.0,0.319,0.193,93.173,248907
Separate Lives - 2016 Remaster,Marilyn Martin,2kutWXrLM96DH8Prv2Ce8g,0.32,0.308,4,-9.118,1,0.0318,0.237,0.0,0.319,0.193,93.173,248907
Easy Lover,Philip Bailey,6dcyrTcSCPz3om2QbGO64u,0.736,0.869,1,-5.82,1,0.0348,0.0179,0.00106,0.0414,0.895,129.084,304573
Easy Lover,Phil Collins,6dcyrTcSCPz3om2QbGO64u,0.736,0.869,1,-5.82,1,0.0348,0.0179,0.00106,0.0414,0.895,129.084,304573
Two Hearts - 2016 Remaster,Phil Collins,3mbikJiGsRDavmAEw0Demc,0.568,0.912,7,-3.25,1,0.0366,0.297,0.0497,0.0717,0.729,155.546,204253
Sussudio - 2016 Remaster,Phil Collins,6RL313g1FMEKmivaJclrXP,0.714,0.935,5,-5.195,1,0.0849,0.0529,0.0934,0.0515,0.725,121.232,263107
I Missed Again - 2015 Remaster,Phil Collins,6KGXQfkR2hmcuMh0tEKzgH,0.779,0.753,9,-8.319,0,0.0307,0.027,6.91e-05,0.0665,0.751,106.233,224120
Don't Lose My Number - 2016 Remaster,Phil Collins,6jIt3SVMR6xlrtXE4Ez6ds,0.585,0.832,5,-5.016,0,0.0814,0.168,5.09e-05,0.0634,0.952,80.614,288547
You Can't Hurry Love - 2016 Remaster,Phil Collins,4RbZC2r7tQe03GeusalOwC,0.62,0.937,7,-4.584,1,0.0312,0.0334,0.0,0.104,0.75,97.705,174080
Something Happened on the Way to Heaven - 2016 Remaster,Phil Collins,5fKwsXn0vlwjV8UW0bswwU,0.658,0.879,8,-3.776,1,0.0282,0.191,0.00796,0.203,0.895,114.632,291587
I Wish It Would Rain Down - 2016 Remaster,Phil Collins,5EgJmdHDzAwyX84lu3idQm,0.506,0.673,8,-4.403,1,0.03,0.278,0.00734,0.312,0.402,125.879,328933
Both Sides of the Story - 2015 Remaster,Phil Collins,4W5YHFtHyX2JbsvLMZUp1k,0.532,0.7,8,-6.868,1,0.0422,0.0463,0.000173,0.245,0.437,127.64,401027
In the Air Tonight - 2015 Remaster,Phil Collins,0lLTc1wmgU3dE2xDZCkWVU,0.452,0.238,0,-14.175,1,0.0316,0.503,6.06e-06,0.0745,0.336,189.999,335973
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,3cKgbanUbfrBeoFQtO6rf5,0.58,0.498,1,-6.901,1,0.0277,0.198,0.0,0.132,0.111,116.271,206360
One More Night - 2016 Remaster,Phil Collins,2bRa7muiAOPrkofYUTiO70,0.534,0.442,3,-9.442,1,0.0308,0.788,0.000351,0.0986,0.343,136.369,288973
A Groovy Kind of Love - 2016 Remaster,Phil Collins,7jIbME4XbPYCoDjCDaSAP8,0.456,0.243,2,-12.19,1,0.0286,0.414,4.45e-06,0.116,0.19,144.131,210347
That's Just the Way It Is - 2016 Remaster,Phil Collins,7cw2Vgy359X6c3Ey3e7hoJ,0.618,0.27,5,-14.396,1,0.024,0.283,0.000132,0.487,0.326,96.064,320307
True Colors - 2016 Remaster,Phil Collins,5Jw8HFCVMA8RPuFtZJugXy,0.63,0.523,6,-6.778,1,0.0383,0.0382,0.00123,0.138,0.498,172.154,274227
Another Day in Paradise - 2016 Remaster,Phil Collins,27fAhqr9KHUUvIgS1nvgqr,0.781,0.576,5,-6.947,0,0.0311,0.731,0.00264,0.0561,0.397,101.985,323040
Take Me Home - 2016 Remaster,Phil Collins,4jdt6muTuZWuJ5fbZr1JvF,0.62,0.807,8,-7.753,1,0.0548,0.471,0.108,0.0477,0.579,118.796,353573
I Don't Care Anymore - 2016 Remaster,Phil Collins,7uGYFrNBZCXSFmxoGa0S6V,0.707,0.425,11,-8.304,1,0.0366,0.189,0.00316,0.0782,0.472,140.476,303880
Do You Remember? - 2016 Remaster,Phil Collins,3eIBB3gESb4DBdWT0DWziR,0.681,0.519,5,-7.495,1,0.0252,0.109,0.00659,0.0695,0.53,93.066,276000
The Magnificent Seven,Elmer Bernstein,0lEtONdoCJJwUfmXUS2Zmk,0.463,0.273,9,-18.639,1,0.0358,0.361,0.943,0.165,0.521,109.23,109933
My Girl,The Temptations,745H5CctFr12Mo7cqa1BMH,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,165000
Papa Was A Rollin' Stone - Single Version,The Temptations,7MiLmLbwNoyf47xQ4TCVYp,0.817,0.405,10,-13.513,0,0.0811,0.451,0.0507,0.0468,0.898,121.467,419640
Ain't Too Proud To Beg,The Temptations,4CoGNqLap7UGU5Q3VdKug0,0.763,0.656,0,-6.86,1,0.0417,0.549,0.0,0.125,0.926,118.394,156173
Just My Imagination (Running Away With Me),The Temptations,39Bd345OWEhRNyfayhp9gv,0.425,0.242,0,-15.424,1,0.0267,0.88,0.0118,0.195,0.477,92.472,228160
I Can't Get Next To You,The Temptations,6aL6pPBaTMGgM558mplSnj,0.693,0.687,5,-12.909,1,0.0973,0.575,0.0,0.398,0.699,108.854,174933
Treat Her Like A Lady - Single Version,The Temptations,71EMeSBrRJjWMJ314mPayo,0.789,0.908,0,-8.123,1,0.0433,0.141,3.7e-05,0.189,0.909,113.205,258667
I Wish It Would Rain,The Temptations,1tjpccwiGZTMDfHr5VGCmT,0.388,0.449,3,-12.584,1,0.088,0.443,0.0,0.265,0.692,179.651,162707
I'm Gonna Make You Love Me,Diana Ross & The Supremes,3Rhxe6P1im82NFVkt9X2qZ,0.635,0.393,10,-11.894,1,0.0428,0.394,0.0,0.255,0.427,98.332,187333
I'm Gonna Make You Love Me,The Temptations,3Rhxe6P1im82NFVkt9X2qZ,0.635,0.393,10,-11.894,1,0.0428,0.394,0.0,0.255,0.427,98.332,187333
Get Ready,The Temptations,676Rf0qIOh2gKNEl9TnCOx,0.59,0.737,7,-5.867,1,0.0384,0.404,0.0,0.108,0.877,132.966,164160
The Way You Do The Things You Do,The Temptations,3496rr5XSGD6n1Z1OKXovb,0.618,0.704,4,-4.686,1,0.0321,0.159,0.000262,0.358,0.741,124.218,165744
(I Know) I'm Losing You,The Temptations,5w7wEwAgqHdUyXwdq9xi4v,0.679,0.425,5,-12.279,1,0.0312,0.443,6.7e-05,0.0941,0.859,110.241,149200
Ball Of Confusion (That's What The World Is Today) - Single Version/Mono,The Temptations,71H1kQE8ne8bqWjtqFiiPJ,0.6,0.629,5,-10.302,1,0.0484,0.127,2.52e-05,0.0799,0.9,80.145,245987
You've Really Got A Hold On Me,Smokey Robinson & The Miracles,0lpMixnQYLyRkvLXpCTkQj,0.667,0.396,9,-13.336,0,0.0328,0.117,0.0,0.0797,0.624,117.719,194760
Shop Around,The Miracles,5WnukOUaf5QUhdS9mTwVry,0.56,0.647,7,-6.787,1,0.0301,0.662,0.0,0.635,0.896,132.433,171187
Mickey's Monkey,Smokey Robinson & The Miracles,28ODIjaThE6hBOUAAl7y3W,0.692,0.88,10,-7.089,0,0.0812,0.152,0.0623,0.279,0.733,93.294,194440
Ooo Baby Baby,Smokey Robinson & The Miracles,2cc3PDGjT6BRBHwa58mzrD,0.26,0.257,7,-10.021,1,0.0313,0.73,2.43e-05,0.0982,0.394,178.825,169800
The Tracks Of My Tears,Smokey Robinson & The Miracles,7FwkoTz8Ic8C5YaE9XXGIU,0.486,0.474,7,-6.316,1,0.0277,0.808,0.0,0.219,0.703,96.417,174800
Going To A Go-Go,Smokey Robinson & The Miracles,0cktNLtJ78WSwCYBDWzawQ,0.621,0.688,7,-9.453,1,0.0322,0.284,0.0,0.112,0.964,129.607,167693
More Love,Smokey Robinson & The Miracles,4D49SGpnyxN4n2j5jLaJ7N,0.407,0.45,5,-10.041,0,0.0289,0.877,0.0,0.248,0.816,106.677,168800
I Second That Emotion,Smokey Robinson & The Miracles,7uK7xGxTNumIRHKDbibPWD,0.645,0.631,2,-8.615,1,0.0347,0.155,0.0,0.0498,0.758,95.818,168933
The Tears Of A Clown,Smokey Robinson & The Miracles,73C1yErumNeDkjHBtmA5Tc,0.597,0.775,6,-8.007,1,0.0325,0.3,0.0,0.318,0.956,128.358,182040
"Baby, Baby Don't Cry - Stereo",Smokey Robinson & The Miracles,72RTlJ7ayZTaXTwAXOGD8l,0.523,0.404,7,-10.934,0,0.0248,0.536,0.0,0.0769,0.675,95.763,243213
Reach Out I'll Be There,Four Tops,11npGmmHAsN9i11Vcnwtko,0.617,0.622,3,-8.303,0,0.0284,0.0249,0.0,0.17,0.697,119.668,180067
It's The Same Old Song - Single Version / Mono,Four Tops,1h4rkW5vlG8JnvEUeIBoXl,0.705,0.849,2,-3.597,0,0.0314,0.0935,0.0,0.0384,0.993,126.275,166533
Baby I Need Your Loving,Four Tops,3aCbwWCYCT3MJjZeUnlcp4,0.632,0.686,0,-6.116,0,0.0395,0.437,0.0,0.193,0.65,121.414,166027
"River Deep, Mountain High - Single Version",Four Tops,14LI5wtFHK4ogdRfIUIopf,0.521,0.914,3,-3.549,1,0.0854,0.0642,0.00192,0.0528,0.825,145.375,195893
"River Deep, Mountain High - Single Version",The Supremes,14LI5wtFHK4ogdRfIUIopf,0.521,0.914,3,-3.549,1,0.0854,0.0642,0.00192,0.0528,0.825,145.375,195893
Ain't No Woman (Like The One I've Got),Four Tops,6q8NBpF6twALMb86FBpLgQ,0.562,0.592,2,-9.694,0,0.0393,0.33,1.25e-05,0.0882,0.869,99.05,187773
Standing In The Shadows Of Love - Single Version / Mono,Four Tops,7IYZLsZDMiVFr5S1ofV2zP,0.663,0.93,1,-4.018,1,0.0313,0.106,1.24e-06,0.271,0.938,114.02,159093
Bernadette - Single Version / Mono,Four Tops,6N9O8zFCKbiGYFXF9ghC2J,0.609,0.853,3,-4.226,1,0.0276,0.0803,0.0,0.383,0.776,111.171,182667
Walk Away Renee,Four Tops,7G3radoiA3EBKkbLIB2VXN,0.417,0.676,9,-4.321,1,0.0377,0.165,0.0,0.102,0.634,116.288,165267
Still Water (Love),Four Tops,1BRoeoxvQfnK6X0nVUnaJ4,0.567,0.63,10,-9.677,1,0.0243,0.489,0.000784,0.227,0.967,93.925,194000
When She Was My Girl,Four Tops,20faPVlyFVzsnz3r35NtoD,0.692,0.635,5,-7.914,1,0.0348,0.246,0.00667,0.0926,0.707,100.225,205240
You Can't Hurry Love,The Supremes,1OppEieGNdItZbE14gLBEv,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912,167933
Where Did Our Love Go,The Supremes,4Ww2XXvjQupbGVcfMI5Aat,0.541,0.593,0,-5.861,1,0.0321,0.695,0.0,0.143,0.824,134.795,151893
Stop! In The Name Of Love - Single Version / Mono,The Supremes,3KpurxC8Ka08NL7vvkbGN5,0.595,0.622,0,-5.945,1,0.0299,0.771,0.0,0.143,0.499,115.879,171613
Back In My Arms Again - Single Version,The Supremes,7xLPIDoeAth9rSs6OM7QXp,0.68,0.682,0,-5.802,1,0.0265,0.206,5.58e-05,0.509,0.496,121.766,172840
Come See About Me,The Supremes,1gQAgHQWRP9HARMZWGaDeX,0.717,0.626,2,-8.049,1,0.0747,0.312,5.57e-06,0.16,0.6,126.997,160467
Nothing But Heartaches - Juke Box Single,The Supremes,4zsKX16I7Mn47sxwo2ZDhj,0.593,0.735,5,-4.052,1,0.0278,0.103,0.0,0.13,0.392,124.026,175907
I Hear A Symphony - Stereo Version,The Supremes,7bHgJEs9o1hHHwKdHwEhPe,0.556,0.564,2,-6.352,0,0.0356,0.44,9.41e-06,0.156,0.343,70.626,158400
Love Is Here And Now You're Gone,The Supremes,7eaNTSP4BLB9vf0uJfBXNC,0.557,0.717,5,-5.377,0,0.0481,0.466,0.0,0.147,0.818,114.449,165893
My World Is Empty Without You,The Supremes,6T25cVVsfbaQOqYoEZNGtl,0.475,0.736,11,-7.031,0,0.102,0.224,0.0,0.0936,0.833,88.506,152667
The Happening,The Supremes,2SusUbsUQnw8OJDq56ZMbE,0.344,0.745,8,-6.901,1,0.0333,0.197,0.0,0.628,0.832,172.124,169867
You Keep Me Hangin' On,The Supremes,3TPmC8fEITlPdIjDQg7eh3,0.684,0.641,8,-6.271,0,0.0466,0.495,3.5e-06,0.109,0.758,128.262,160640
Reflections,Diana Ross & The Supremes,5qaPXZce6GMtzptgsK6lqB,0.495,0.499,1,-7.37,1,0.031,0.32,0.0,0.0617,0.727,200.337,171093
Someday We'll Be Together,Diana Ross & The Supremes,5EecbZjw611ixo0ULoZmGD,0.671,0.68,1,-7.474,1,0.0281,0.114,1.35e-06,0.0589,0.774,107.224,211427
I'm Livin' In Shame - Juke Box Single,Diana Ross & The Supremes,4nb9VIQfGmo9d7lbE9e6Yf,0.608,0.788,7,-6.415,1,0.0377,0.814,2.12e-05,0.295,0.784,108.77,178653
(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,3VgrSJEKBRT3xmwzpaxxEF,0.514,0.624,0,-9.287,0,0.0842,0.513,0.00517,0.307,0.755,166.726,163053
Nowhere To Run,Martha Reeves & The Vandellas,1xMhXZTBy7ijeYHEcroUzA,0.61,0.825,2,-9.316,0,0.0515,0.117,0.00238,0.153,0.841,129.3,176907
Jimmy Mack,Martha Reeves & The Vandellas,7N3UAu6FkwdBg9J7OONBBP,0.701,0.517,2,-7.951,1,0.0357,0.765,0.0,0.385,0.688,127.401,163733
I Say A Little Prayer,Martha Reeves & The Vandellas,4hdNtxRuhVgewZuIJRIs7A,0.597,0.441,7,-10.494,1,0.0341,0.249,0.0,0.133,0.767,141.071,184693
Heat Wave,Martha Reeves & The Vandellas,5DXRr2QEYyY04o1TLcY4iJ,0.519,0.808,5,-5.536,0,0.0449,0.611,0.000718,0.747,0.768,82.685,183840
Then He Kissed Me,Martha Reeves & The Vandellas,0yqxa7gFc4iEEwNObSakIo,0.637,0.826,4,-7.692,1,0.0307,0.403,0.0,0.151,0.961,135.331,151120
Midnight Train to Georgia,Gladys Knight & The Pips,7MF7QAodbGzNYav5ZfIhAY,0.595,0.379,10,-12.058,0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,279333
Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight & The Pips,3QgSJ9CqgLPk9B4xLdwLrS,0.511,0.346,5,-14.28,1,0.0388,0.685,0.000124,0.294,0.599,140.29,264267
Best Thing That Ever Happened to Me,Gladys Knight & The Pips,0bYwN4LqZYLfs9ZEHPXjBC,0.352,0.545,1,-11.939,0,0.0871,0.309,0.0563,0.106,0.459,189.498,224987
If I Were Your Woman - Single Version,Gladys Knight & The Pips,4Fo0h4xBntg9L4YNAMXQEH,0.457,0.567,6,-7.119,1,0.0535,0.74,0.126,0.615,0.524,74.982,190653
This Old Heart Of Mine (Is Weak For You),The Isley Brothers,5c33j1xFVOL4G24zxYhssB,0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287,172733
It's Your Thing,The Isley Brothers,3ZxfehzRtB3oJcBuxWXFZQ,0.376,0.67,10,-9.273,1,0.0854,0.0727,2.52e-06,0.0718,0.837,185.503,169293
Save It For Later,The English Beat,5rBOBI3INEw0u0rwNNGib5,0.624,0.719,2,-9.87,1,0.0278,0.0307,0.0489,0.322,0.724,129.552,213933
The Israelites,Desmond Decker,6TCNlQ6SOAMmcoQUCFUlte,0.776,0.542,10,-8.515,1,0.0418,0.686,0.0,0.0489,0.975,73.555,161387
River Lady (A Little Goodbye),Roger Whittaker,35PynLeGxGWuyJEapxMMsA,0.606,0.475,9,-12.173,1,0.0867,0.224,0.0,0.175,0.772,81.191,192067
That'll Be The Day,Buddy Holly & The Crickets,0sXddx2CKFucyWtLmLZEGp,0.611,0.631,9,-8.239,1,0.0276,0.247,0.0,0.292,0.932,126.152,138987
That'll Be The Day,Royal Philharmonic Orchestra,0sXddx2CKFucyWtLmLZEGp,0.611,0.631,9,-8.239,1,0.0276,0.247,0.0,0.292,0.932,126.152,138987
Maybe Baby,Buddy Holly & The Crickets,74X3wlWiB3JI7KHWwDE0DW,0.614,0.4,9,-14.822,1,0.0351,0.59,0.0,0.0988,0.808,136.609,122133
Oh Boy!,Buddy Holly,1plvLGOTbq900mzMhbtRpB,0.541,0.456,9,-12.252,1,0.0424,0.368,0.0,0.344,0.701,96.611,128773
Oh Boy!,The Crickets,1plvLGOTbq900mzMhbtRpB,0.541,0.456,9,-12.252,1,0.0424,0.368,0.0,0.344,0.701,96.611,128773
Not Fade Away,Buddy Holly & The Crickets,5v47PLSLTSBCar6eL79qU6,0.808,0.421,9,-14.516,1,0.0424,0.718,0.0,0.137,0.882,96.216,141707
Think It Over,Buddy Holly,4y9gjmo9hQogrqes8eMFQ5,0.616,0.568,9,-13.018,1,0.044,0.753,0.0,0.0763,0.822,130.862,106960
Think It Over,The Crickets,4y9gjmo9hQogrqes8eMFQ5,0.616,0.568,9,-13.018,1,0.044,0.753,0.0,0.0763,0.822,130.862,106960
It's So Easy,Buddy Holly,41ktjXesjURYR908pGvUiC,0.625,0.41,9,-14.03,1,0.0309,0.163,0.0,0.233,0.896,136.006,130533
It's So Easy,The Crickets,41ktjXesjURYR908pGvUiC,0.625,0.41,9,-14.03,1,0.0309,0.163,0.0,0.233,0.896,136.006,130533
That'll Be The Day,Buddy Holly,7w9UuIaDrfyey4dV3AbwGW,0.642,0.406,9,-13.532,1,0.0394,0.675,0.0,0.236,0.892,126.585,136000
That'll Be The Day,The Crickets,7w9UuIaDrfyey4dV3AbwGW,0.642,0.406,9,-13.532,1,0.0394,0.675,0.0,0.236,0.892,126.585,136000
Peggy Sue,Buddy Holly,1VXnOQt6mNkPOAvpO8h9cH,0.68,0.267,9,-13.711,1,0.0335,0.851,1.44e-06,0.126,0.609,148.583,150067
Peggy Sue,The Crickets,1VXnOQt6mNkPOAvpO8h9cH,0.68,0.267,9,-13.711,1,0.0335,0.851,1.44e-06,0.126,0.609,148.583,150067
Words Of Love,Buddy Holly,0StTksYPERabfdS9CQxjTA,0.602,0.356,9,-15.272,1,0.0296,0.0227,0.00328,0.0988,0.522,128.702,115600
Everyday,Buddy Holly,5g9x0nP4dnUSvti8OMyDyX,0.726,0.137,8,-17.468,1,0.0395,0.466,0.0,0.105,0.541,135.406,127893
Everyday,The Crickets,5g9x0nP4dnUSvti8OMyDyX,0.726,0.137,8,-17.468,1,0.0395,0.466,0.0,0.105,0.541,135.406,127893
It Doesn't Matter Anymore,Buddy Holly,6QKoYmaw7qV9RIwqoI2NYP,0.67,0.175,7,-16.68,1,0.038,0.806,0.0,0.195,0.863,115.152,124000
It Doesn't Matter Anymore,The Crickets,6QKoYmaw7qV9RIwqoI2NYP,0.67,0.175,7,-16.68,1,0.038,0.806,0.0,0.195,0.863,115.152,124000
Well...All Right,Buddy Holly,2wAulLFaG1xNF8IUMYIhUh,0.717,0.46,1,-13.122,0,0.0443,0.407,0.00262,0.298,0.918,124.319,134267
Rave On,Buddy Holly,7fEulNFk2bigUQhmfYoSCi,0.556,0.582,7,-11.734,1,0.0362,0.466,0.0,0.341,0.932,159.551,109227
Rave On,The Crickets,7fEulNFk2bigUQhmfYoSCi,0.556,0.582,7,-11.734,1,0.0362,0.466,0.0,0.341,0.932,159.551,109227
Raining In My Heart,Buddy Holly,3WKh4fFDbb5zr0ixuh5tos,0.638,0.178,7,-15.092,1,0.0345,0.507,0.0,0.168,0.49,105.59,167800
Raining In My Heart,The Crickets,3WKh4fFDbb5zr0ixuh5tos,0.638,0.178,7,-15.092,1,0.0345,0.507,0.0,0.168,0.49,105.59,167800
I'm Gonna Love You Too,Buddy Holly,0YB7qJ2NqEmtE3FNeyZBO2,0.692,0.577,9,-7.861,1,0.0351,0.826,1.54e-06,0.0998,0.807,90.946,137067
Somethin' Else,Eddie Cochran,58Genya9wsQXqfiCYdd5qT,0.598,0.909,2,-8.321,1,0.0969,0.149,0.0239,0.0519,0.961,155.851,130067
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1uRKT2LRANv4baowBWHfDS,0.811,0.859,9,-6.317,1,0.168,0.205,3.73e-06,0.0761,0.784,90.686,129893
Rip It Up,Little Richard,5tHFPtV7dT01fxDe2AhKjD,0.895,0.636,5,-6.043,1,0.06,0.672,3.31e-06,0.0207,0.967,95.922,141400
"Oh, Lonesome Me",Loggins & Messina,2O7sOKJ6DBLE0ePdnWk97Z,0.671,0.75,4,-8.214,1,0.0467,0.215,0.109,0.0825,0.809,106.412,169173
That Smell,Lynyrd Skynyrd,52DKGPMQ21DauCR19pQ0BK,0.455,0.573,9,-11.301,0,0.0355,0.0134,0.0304,0.428,0.644,117.252,348240
Saturday Night Special,Lynyrd Skynyrd,0ZQmpf5gk4k5VMopcAtyAc,0.558,0.563,9,-11.259,1,0.0543,0.0146,0.000195,0.273,0.617,120.99,309667
96 Tears,Garland Jeffreys,6au8o0VvJ8jM8o13ys3Jqg,0.647,0.645,11,-11.395,1,0.0307,0.000527,0.00201,0.0914,0.902,117.683,185573
Jesse,Carly Simon,2ifpWVChV5iLsHozrX6IHQ,0.73,0.61,0,-13.418,1,0.0408,0.24,0.0,0.0969,0.779,106.512,261000
You're so Vain,Carly Simon,2DnJjbjNTV9Nd5NOa1KGba,0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,258411
Nobody Does It Better,Marvin Hamlisch,49RUdNvwSiUTC8fBh4KKoC,0.368,0.403,10,-12.699,1,0.0288,0.703,7.66e-06,0.202,0.338,135.384,212667
Nobody Does It Better,Carly Simon,49RUdNvwSiUTC8fBh4KKoC,0.368,0.403,10,-12.699,1,0.0288,0.703,7.66e-06,0.202,0.338,135.384,212667
Mockingbird,Carly Simon,74UWXHeikO5C3ScEREk42E,0.716,0.753,3,-12.407,1,0.0368,0.0532,0.000619,0.183,0.952,113.404,254240
Mockingbird,James Taylor,74UWXHeikO5C3ScEREk42E,0.716,0.753,3,-12.407,1,0.0368,0.0532,0.000619,0.183,0.952,113.404,254240
That's The Way I've Always Heard It Should Be,Carly Simon,4jkn5PRfAJoKfXF0OPL7n7,0.4,0.0897,0,-19.012,1,0.0288,0.938,0.000521,0.0847,0.24,70.387,258133
Coming Around Again,Carly Simon,58Ga5VQlZMnCUV6ZRqf76k,0.631,0.363,5,-14.331,1,0.0336,0.632,4.64e-05,0.084,0.266,138.367,219160
Let the Riverrun,Carly Simon,3McvK4b1x9B7z9Rjc45oyG,0.4,0.317,4,-9.585,1,0.0292,0.857,2.17e-06,0.102,0.135,156.214,196240
Anticipation - 2015 Remaster,Carly Simon,2bUzdmBnB4znSXkdYVLgTz,0.61,0.395,2,-11.127,1,0.0305,0.781,1.05e-06,0.108,0.594,100.201,201787
Legend in Your Own Time - 2015 Remaster,Carly Simon,0DcSaSo6LGwgG93rLKM8d2,0.638,0.293,9,-13.928,0,0.0286,0.877,5.7e-05,0.114,0.511,102.409,224813
We Have No Secrets - 2015 Remaster,Carly Simon,6EQXmCMjow2RP0g0J5IPDH,0.633,0.414,1,-11.683,1,0.0291,0.298,0.0,0.0472,0.524,114.622,238093
You Belong to Me - 2015 Remaster,Carly Simon,7EHBNPYhHRcvANFv9ho9p8,0.636,0.622,5,-8.881,0,0.0452,0.275,4.85e-06,0.103,0.832,108.974,232907
A Lover's Concerto,The Toys,1gcY3t8AODYm42HsxVPo8R,0.675,0.74,2,-5.551,1,0.052,0.633,0.0,0.149,0.836,123.651,158000
Boys Are Back In Town,The Bus Boys,4BOCWgeBdgnPO4rtQIlHDu,0.528,0.917,7,-5.386,1,0.0834,0.0228,0.0,0.117,0.716,153.568,193959
Call Me,Petula Clark,5gxl0IcVXlSbZUyAsiyZrS,0.488,0.664,4,-8.56,1,0.0488,0.769,0.0,0.364,0.716,156.168,166200
Can't Smile Without You,Barry Manilow,7qUTZEf6bgiApJEXpMAH5y,0.419,0.516,7,-9.937,1,0.0335,0.494,4.41e-06,0.148,0.476,97.884,193440
I Write The Songs,Barry Manilow,5VU6nvX3BqkqBmOJ2d9vhW,0.397,0.381,3,-8.553,1,0.0294,0.835,0.0,0.0829,0.423,148.649,239187
Even Now,Barry Manilow,5ysB8OZ3b5GRTxX4YEJaX1,0.294,0.319,11,-10.359,1,0.0303,0.574,0.000106,0.0997,0.313,132.343,210507
Looks Like We Made It,Barry Manilow,3QqO9FxVrikwo7kS5ls3kQ,0.297,0.481,0,-7.681,1,0.0278,0.574,0.00352,0.094,0.456,139.896,213973
Weekend in New England,Barry Manilow,5XWmnuSMexMy6WRYz5rSfq,0.245,0.397,0,-6.997,1,0.0272,0.568,1.83e-05,0.171,0.244,80.427,226920
Somewhere Down The Road,Barry Manilow,3zeLxaBQmYS1DR0MgoRTTb,0.317,0.261,0,-12.606,1,0.0309,0.3,5.56e-05,0.416,0.252,132.584,243400
I Made It Through the Rain,Barry Manilow,08SNOFwQ3eb2679JfVurZT,0.345,0.263,10,-13.502,1,0.0291,0.662,0.0,0.0796,0.137,138.442,266467
